ItemNumber;VendorNo;BarcodeNo;ProductGroup;ProductType;CatalogCode;"Vehicle ID";HSN;TSN;BikeProducer;BikeModel;SalesName;Displacement;Country;Year;BikeType;Position;OEMReferenceNumber;PartSpecificNotes;SubstitutionItems;AlternativeItems;Certificates;Length;Width;Height
140402;140402;140402;;;;5969;1008;;"Harley Davidson";"FL 1200";"Electra Glide";1200;ALL;1976;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5981;1008;;"Harley Davidson";"FL 1200";"Electra Glide";1200;ALL;1975;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6005;1008;;"Harley Davidson";"FL 1200";"Electra Glide";1200;ALL;1973;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5993;1008;;"Harley Davidson";"FL 1200";"Electra Glide";1200;ALL;1974;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6015;1008;;"Harley Davidson";"FL 1200";"Electra Glide";1200;ALL;1972;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6027;1008;;"Harley Davidson";"FL 1200";"Electra Glide";1200;ALL;1971;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5951;1008;;"Harley Davidson";"FL 1200";"Electra Glide";1200;ALL;1977;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6039;1008;;"Harley Davidson";"FL 1200";"Electra Glide";1200;ALL;1970;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6049;1008;;"Harley Davidson";"FLB 1200";"Electra Glide";1200;ALL;1969;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6063;1008;;"Harley Davidson";"FLB 1200";"Electra Glide";1200;ALL;1968;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6077;1008;;"Harley Davidson";"FLB 1200";"Electra Glide";1200;ALL;1967;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6105;1008;;"Harley Davidson";"FLB 1200";"Electra Glide";1200;ALL;1965;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6091;1008;;"Harley Davidson";"FLB 1200";"Electra Glide";1200;ALL;1966;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6093;1008;;"Harley Davidson";"FLFB 1200";"Electra Glide";1200;ALL;1966;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6107;1008;;"Harley Davidson";"FLFB 1200";"Electra Glide";1200;ALL;1965;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6051;1008;;"Harley Davidson";"FLFB 1200";"Electra Glide";1200;ALL;1969;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6079;1008;;"Harley Davidson";"FLFB 1200";"Electra Glide";1200;ALL;1967;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6065;1008;;"Harley Davidson";"FLFB 1200";"Electra Glide";1200;ALL;1968;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6041;1008;;"Harley Davidson";"FLH 1200";"Electra Glide";1200;ALL;1970;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6007;1008;;"Harley Davidson";"FLH 1200";"Electra Glide";1200;ALL;1973;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6017;1008;;"Harley Davidson";"FLH 1200";"Electra Glide";1200;ALL;1972;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6029;1008;;"Harley Davidson";"FLH 1200";"Electra Glide";1200;ALL;1971;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5953;1008;;"Harley Davidson";"FLH 1200";"Electra Glide";1200;ALL;1977;FLH;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5995;1008;;"Harley Davidson";"FLH 1200";"Electra Glide";1200;ALL;1974;FLH;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5983;1008;;"Harley Davidson";"FLH 1200";"Electra Glide";1200;ALL;1975;FLH;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5971;1008;;"Harley Davidson";"FLH 1200";"Electra Glide";1200;ALL;1976;FLH;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5907;1008;101;"Harley Davidson";"FLH 1200";"Electra Glide";1186;ALL;1979;FLH;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5937;1008;101;"Harley Davidson";"FLH 1200";"Electra Glide";1186;ALL;1978;FLH;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5909;1008;101;"Harley Davidson";"FLH 1340";"Electra Glide";1319;ALL;1979;FLH;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6109;1008;;"Harley Davidson";"FLHB 1200";"Electra Glide";1200;ALL;1965;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6095;1008;;"Harley Davidson";"FLHB 1200";"Electra Glide";1200;ALL;1966;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6081;1008;;"Harley Davidson";"FLHB 1200";"Electra Glide";1200;ALL;1967;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6067;1008;;"Harley Davidson";"FLHB 1200";"Electra Glide";1200;ALL;1968;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6053;1008;;"Harley Davidson";"FLHB 1200";"Electra Glide";1200;ALL;1969;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5911;1008;101;"Harley Davidson";FLHC;"Electra Glide Classic";1319;ALL;1979;FLH;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6111;1008;;"Harley Davidson";"FLHFB 1200";"Electra Glide";1200;ALL;1965;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6097;1008;;"Harley Davidson";"FLHFB 1200";"Electra Glide";1200;ALL;1966;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6069;1008;;"Harley Davidson";"FLHFB 1200";"Electra Glide";1200;ALL;1968;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6083;1008;;"Harley Davidson";"FLHFB 1200";"Electra Glide";1200;ALL;1967;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6055;1008;;"Harley Davidson";"FLHFB 1200";"Electra Glide";1200;ALL;1969;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5913;1008;;"Harley Davidson";"FLHS 1200";"Electra Glide Sport";1200;AMERICA;1979;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5973;1008;;"Harley Davidson";"FX 1200";"Super Glide";1200;ALL;1976;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5997;1008;;"Harley Davidson";"FX 1200";"Super Glide";1200;ALL;1974;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5985;1008;;"Harley Davidson";"FX 1200";"Super Glide";1200;ALL;1975;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6009;1008;;"Harley Davidson";"FX 1200";"Super Glide";1200;ALL;1973;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6019;1008;;"Harley Davidson";"FX 1200";"Super Glide";1200;ALL;1972;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5955;1008;;"Harley Davidson";"FX 1200";"Super Glide";1200;ALL;1977;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;6031;1008;;"Harley Davidson";"FX 1200";"Super Glide";1200;ALL;1971;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5931;1008;103;"Harley Davidson";"FX 1200";"Super Glide";1186;ALL;1978;FX;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5915;1008;103;"Harley Davidson";"FX 1200";"Super Glide";1186;ALL;1979;FX;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5957;1008;;"Harley Davidson";"FXE 1200";"Super Glide";1200;ALL;1977;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5987;1008;;"Harley Davidson";"FXE 1200";"Super Glide";1200;ALL;1975;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5999;1008;;"Harley Davidson";"FXE 1200";"Super Glide";1200;ALL;1974;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5975;1008;;"Harley Davidson";"FXE 1200";"Super Glide";1200;ALL;1976;;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5933;1008;103;"Harley Davidson";"FXE 1200";"Super Glide";1186;ALL;1978;FX;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5935;1008;103;"Harley Davidson";"FXE 1200";"Super Glide";1186;ALL;1978;FX;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5917;1008;103;"Harley Davidson";"FXE 1200";"Super Glide";1186;ALL;1979;FX;;;;;;;123.000;85.000;70.000
140402;140402;140402;;;;5919;1008;105;"Harley Davidson";"FXEF 1200";"Fat Bob";1186;ALL;1979;FX;;;;;;;123.000;85.000;70.000
