ItemNumber;ItemDescription;ItemDescription2;ProductGroup;ProductType;UnitOfMeasure;DealerPrice;RetailPrice;CatalogCode;GrossWeight;"PartDescription - DE"
140404;"IGN COIL";"SUPER COIL UNIVERSAL KIT-4CYL CDI 0.7OHMS";"ELECTRICAL SYSTEM GROUP";"IGNITION COIL GROUP";KT;246.20;351.71;"A;V";1.68;"Universal-„Superspulen“-Satz</br></br><li>Hochleistungsspulen für Motorräder mit 2 Zylindern</li><li>ACCEL-Ingenieure haben die niederohmige Primärspule dieser Spulen speziell für die Betriebseigenschaften von Werks- und Nachbau-CDI-Systemen entwickelt</li><li>Maximale Leistung bei schnellen Anstiegszeiten</li><li>Extra-hochbelastbare 8,8 mm Silikondrähte inbegriffen</li><li>Made in the U.S.A.</li><li>Die Verwendung der falschen Spule kann das elektronische Zündmodul Ihres Motorrads beschädigen. Zur Bestimmung Ihres Zündungstyps machen Sie folgenden Test:   1. Bestimmen Sie, ob der Spulentyp, den Sie austauschen, eine High-Tower-Spule ist. (Diese Spule</li></br></br>"
151308;"BATTERY ELIMINATOR";"BATTERY ELIMINATOR";"ELECTRICAL SYSTEM GROUP";"GENERATOR GROUP";EA;42.67;60.95;"A;R;U;V";0.111;"Batterie-Eliminator</br></br><li>Verstärkt die Funkenspannung beim Starten, beseitigt flackernde Lampen bei geringer Motordrehzahl</li><li>Nur zur Verwendung an Modellen mit Lichtmaschine, dieser Satz ist komplett mit einer stoßdämpfenden Montagehalterung und Befestigungsmaterial</li><li>Made in the USA</li></br></br>"
152108;"ACCEL STATOR 91-00XL UNM";"ALTERNATOR STATOR UNMOLDED 22 AMP";"ELECTRICAL SYSTEM GROUP";"ALTERNATOR GROUP";EA;124.82;178.30;"P;U;V";1.011;"Nicht vergossener Lichtmaschinen-Stator</br></br><li>Jeder ist einzeln eingewickelt und in einem
attraktiven vierfarbigen Displaykarton verpackt</li><li>Nicht vergossen</li></br></br>"
18610318;"WRAP EXHAUST BLK 2""X25'";"EXHAUST WRAP KIT BLACK 50MMx7.6M BLACK";"EXHAUST GROUP";"ACCESSORY PARTS FOR EXHAUSTS";KT;55.22;84.95;"A;B;C;E;P;R;U;V";0.4;"Hochtemperatur-Auspuffbandsätze</br></br><li>Diese Bänder sorgen für mehr Leistung und reduzieren die Strahlungswärme vom Auspuff</li><li>Kits mit hochwertigem, temperaturbeständigem 51 mm x 7,5 m (2"" x 25’) oder 25 mm x 15 m (1"" x 50’) Auspuffband und vier Edelstahl-Kabelbindern für einen perfekten Look</li><li>Die Bänder halten dauerhaft bis 649 °C und zeitweise 1.093 °C</li><li>Ersatz-/Zusatz-Auspuffschellen, 4er-Pack, separat erhältlich</li></br></br>"
18610320;"CLAMPSEXHAUST WRAP";"STAINLESS STEEL TIE STRAPS 14''";"EXHAUST GROUP";"ACCESSORY PARTS FOR EXHAUSTS";4PK;21.42;30.59;"A;B;C;E;P;R;U;V";0.025;"Temperaturbeständige Auspuffband-Klemme</br></br><li>Diese Bänder sorgen für mehr Leistung und reduzieren die Strahlungswärme vom Auspuff</li></br></br>"
18610729;"WRAP EXHST KIT BLK 1""X50""";"EXHAUST WRAP KIT BLACK 25MMx15M BLACK";"EXHAUST GROUP";"ACCESSORY PARTS FOR EXHAUSTS";KT;59.73;85.33;"A;B;E;P;R;U;V";0.385;"Hochtemperatur-Auspuffbandsätze</br></br><li>Diese Bänder sorgen für mehr Leistung und reduzieren die Strahlungswärme vom Auspuff</li><li>Kits mit hochwertigem, temperaturbeständigem 51 mm x 7,5 m (2"" x 25’) oder 25 mm x 15 m (1"" x 50’) Auspuffband und vier Edelstahl-Kabelbindern für einen perfekten Look</li><li>Die Bänder halten dauerhaft bis 649 °C und zeitweise 1.093 °C</li><li>Ersatz-/Zusatz-Auspuffschellen, 4er-Pack, separat erhältlich</li></br></br>"
18610828;"WRAP EXHST MATRX 1""X 50""";"EXHAUST WRAP KIT BLACK 25MMx15M MATRIX";"EXHAUST GROUP";"ACCESSORY PARTS FOR EXHAUSTS";EA;58.83;84.05;"A;B;E;P;R;U;V";0.397;"Hochtemperatur-Auspuffband</br></br><li>Aus gepresstem Vulkangestein; 25 % stärker als normales Glasfaserband</li><li>Witterungs- und chemikalienbeständig</li></br></br>Does not include stainless steel ties."
201106C;"VLT REG 58-64FL 52-64XL";"VOLTAGE REGULATOR ELECTRO-MECHANICAL 12V CHROME";"ELECTRICAL SYSTEM GROUP";"ALTERNATOR GROUP";EA;137.21;196.02;"P;R;V";0.492;"Regulator</br></br><li>Mit einer hochbelastbaren und stoßdämpfend montierten Stahlbasis mit vibrationsbeständigen internen Kabelverbindungen; Fiber und Mylar® Isolations-Pads und große Kontaktoberflächen</li><li>B Batterie; DF Feld; D Armatur; 61 Hupen-Kondensator.</li></br></br>"
21020260;"COIL 4.2OHM BLK POINTS";"POWER PULSE COIL 4.2 OHM BLACK";"ELECTRICAL SYSTEM GROUP";"IGNITION COIL GROUP";EA;132.62;189.46;"R;V";0.558;"12 V Power Pulse Spule</br></br><li>Bietet höhere Spannung, kürzere Anstiegszeit und längere Funkendauer</li><li>Schwingungs- und wärmebeständige Konstruktion</li></br></br>"
21020281;"COIL SUPER BLACK XL EFI";"SUPER COIL SINGLE FIRE EFI";"ELECTRICAL SYSTEM GROUP";"IGNITION COIL GROUP";EA;137.17;195.95;"P;U;V";0.362;"EFI Super Spule</br></br><li>Kürzere Anstiegszeit, höhere Spannung und 
maximale Funkenenergie für die Zündkerzen</li><li>Liefert bis zu 20% mehr Spannung als OEM-Zündspulen</li><li>Passt in die Original-Position und unter die meisten Zündspulenblenden</li></br></br>"
