ItemNumber;ItemDescription;ItemDescription2;ProductGroup;ProductType;UnitOfMeasure;DealerPrice;RetailPrice;CatalogCode;GrossWeight;"PartDescription - DE"
20400650;"ACCENT LT BAR TS RED";"LED TURN SIGNAL LIGHT BAR SEQUENTIAL RED";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";EA;18.96;27.67;"A;E;P;R;U;V";0.054;"Knight Riderz LED-Lichtleiste</br></br><li>LED-Blinkerleisten funktionieren mit Blinkgebern, die zwischen 60 und 120 Mal pro Sekunde schalten; ideal als Zusatzblinker; einfache Intensität, keine Positionsleuchte</li><li>Mit 12 extrem hellen LEDs</li><li>3M™ doppelseitiges Klebeband für einfache Montage</li><li>Funktioniert mit jedem 12VDC-System, kein Lastwiderstand oder Equalizer erforderlich</li></br></br>"
20400873;"LIGHT STINGER 24 LED LAVA";"STINGERZ LED STRIP 24 LEDS LAVA";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";PR;18.19;26.55;"A;R;U";0.107;"Stingerz® LED Akzentbeleuchtung</br></br><li>Vollständig flexibel, wasserdicht und äußerst vielseitig</li><li>Vormontiert mit 3M Automobilklebeband an drei Seiten für vielseitige Befestigungsmöglichkeiten</li><li>Hochwertige LEDs in Silikonhülle zum Schutz vor Hitze, Vibrationen, Feuchtigkeit und Straßenschmutz</li><li>Jeder Streifen hat 48"" zweiadriges Kabel in schwarzer Ummantelung</li></br></br>"
20400882;"LIGHT STINGER 9 LED GRN";"STINGERZ LED STRIP 9 LEDS GREEN";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";PR;13.63;19.89;"A;R;U";0.07;"Stingerz® LED Akzentbeleuchtung</br></br><li>Vollständig flexibel, wasserdicht und äußerst vielseitig</li><li>Vormontiert mit 3M Automobilklebeband an drei Seiten für vielseitige Befestigungsmöglichkeiten</li><li>Hochwertige LEDs in Silikonhülle zum Schutz vor Hitze, Vibrationen, Feuchtigkeit und Straßenschmutz</li><li>Jeder Streifen hat 48"" zweiadriges Kabel in schwarzer Ummantelung</li></br></br>"
20400886;"LIGHT STINGER 3 LED BLUE";"STINGERZ LED STRIP 3 LEDS BLUE";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";PR;9.14;13.35;"A;R;U";0.052;"Stingerz® LED Akzentbeleuchtung</br></br><li>Vollständig flexibel, wasserdicht und äußerst vielseitig</li><li>Vormontiert mit 3M Automobilklebeband an drei Seiten für vielseitige Befestigungsmöglichkeiten</li><li>Hochwertige LEDs in Silikonhülle zum Schutz vor Hitze, Vibrationen, Feuchtigkeit und Straßenschmutz</li><li>Jeder Streifen hat 48"" zweiadriges Kabel in schwarzer Ummantelung</li></br></br>"
20400888;"LIGHT STINGER 3 LED LAVA";"STINGERZ LED STRIP 3 LEDS LAVA";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";PR;9.14;13.36;"A;P;R;U";0.05;"Stingerz® LED Akzentbeleuchtung</br></br><li>Vollständig flexibel, wasserdicht und äußerst vielseitig</li><li>Vormontiert mit 3M Automobilklebeband an drei Seiten für vielseitige Befestigungsmöglichkeiten</li><li>Hochwertige LEDs in Silikonhülle zum Schutz vor Hitze, Vibrationen, Feuchtigkeit und Straßenschmutz</li><li>Jeder Streifen hat 48"" zweiadriges Kabel in schwarzer Ummantelung</li></br></br>"
20400940;"TRUFLEX 30 LED - RED LEDS/RED TUBE";"TRUFLEX LED STRIP 30LEDS";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";EA;22.30;32.55;"A;E;P;R;U";0.035;"TruFLEX® Flexibles LED-Band</br></br><li>Kann als Standlicht, Bremslicht oder Blinker verwendet werden</li><li>Hochflexibel mit einzigartigem Facettendesign für einen erweiterten Blickwinkel</li><li>Jeder Streifen ist mit hochwertigem Automobilklebeband vormontiert, mit militärtauglichem RTV versiegelt und verfügt über ein 36"" Kupferkabel</li><li>Zur Verwendung mit Dual-Converter-Teil (separat erhältlich) für Fahr-, Brems- und Blinkfunktion.</li></br></br>"
20400942;"LIGHT TRUFLEX 45AMB/AMB";"TRUFLEX LED STRIP 45LEDs";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";EA;16.83;24.58;"A;R;U";0.034;"TruFLEX® Flexibles LED-Band</br></br><li>Kann als Standlicht, Bremslicht oder Blinker verwendet werden</li><li>Hochflexibel mit einzigartigem Facettendesign für einen erweiterten Blickwinkel</li><li>Jeder Streifen ist mit hochwertigem Automobilklebeband vormontiert, mit militärtauglichem RTV versiegelt und verfügt über ein 36"" Kupferkabel</li><li>Zur Verwendung mit Dual-Converter-Teil (separat erhältlich) für Fahr-, Brems- und Blinkfunktion.</li></br></br>"
20400953;"LIGHT TRUWRAP 41MM SMK";"LED FORK RINGS TRUWRAPZ 41MM AMBER/SMOKED";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";PR;65.53;93.61;"A;P;R;U";0.131;"TruWRAPZ® 360° LED-Gabelbeleuchtung</br></br><li>360° einfache, individuelle Abdeckung</li><li>Zur Montage um die Gabel konzipiert, dient als Tagfahrlicht und/oder Blinker</li><li>Enthält Edelstahl-Kabelschutz, Chrom-Kabelbinder, Posi-Taps und Eclipse®-Module</li><li>Montage mit 3M-Automobilklebeband, kein Absenken der Gabel erforderlich</li><li>Maße: 0,34"" B x 0,30"" H</li><li>Kann bei Verwendung als Blinker einen Lastwiderstand erfordern</li></br></br>"
20401085;"LIGHT 36 LED RUN/BRK";"TRUNK LED BRAKELIGHT";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";EA;99.51;145.27;A;0.32;"RT LED Hochmontierte Bremsleuchte</br></br><li>36 ultrahelle Genesis™ LEDs für maximale Helligkeit</li><li>Konturiertes Chromgehäuse</li><li>Kann als drittes Bremslicht, zusätzliches Rücklicht oder mit optionalem Dual-Konverter Teil-Nr. 2050-0126 als zweistufiges Rück-/Bremslicht verwendet werden</li></br></br>"
20401291;"LIGHT DASH BLUE LED";"LIGHT DASH STINGERZ SINGLE LED BLUE";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";EA;2.25;3.29;"A;R;U;V";0.028;"Individuelle LED</br></br><li>Perfekt geeignet, um einen Lichteffekt zu erzeugen</li><li>Ideal als Schaltlicht, Armaturenbrettbeleuchtung, Zusatzbeleuchtung und Armaturenbeleuchtung</li><li>Direkter 12V-DC-Anschluss, kein Widerstand erforderlich</li><li>Mit 91 cm (3 Fuß) langem Kabel mit 22 AWG und schwarzer Ummantelung</li></br></br>"
